Country,Year,Rice,Rank
India,1982,18497,11
Indonesia,1982,37363,4
Japan,1982,56881,2
Korea,1982,61510,1
Lao,1982,14825,12
Malaysia,1982,27619,7
Myanmar,1982,31505,5
Philippines,1982,26342,8
SriLanka,1982,28896,6
Thailand,1982,18880,10
VietNam,1982,25194,9
China,1983,50918,3
India,1983,21833,10
Indonesia,1983,38530,4
Japan,1983,57008,2
Korea,1983,61926,1
Lao,1983,15851,12
Malaysia,1983,26041,8
Myanmar,1983,30666,6
Philippines,1983,23227,9
SriLanka,1983,31977,5
Thailand,1983,20351,11
VietNam,1983,26272,7
China,1984,53634,3
India,1984,21272,10
Indonesia,1984,39060,4
Japan,1984,64138,2
Korea,1984,64754,1
Lao,1984,20167,12
Malaysia,1984,25187,8
Myanmar,1984,30981,5
Philippines,1984,24300,9
SriLanka,1984,27316,7
Thailand,1984,20670,11
VietNam,1984,27323,6
China,1985,52498,3
India,1985,23292,10
Indonesia,1985,39418,4
Japan,1985,62246,2
Korea,1985,63514,1
Lao,1985,21028,11
Malaysia,1985,26648,8
Myanmar,1985,30718,6
Philippines,1985,25879,9
SriLanka,1985,30777,5
Thailand,1985,20608,12
VietNam,1985,27761,7
China,1986,53272,3
India,1986,22052,11
Indonesia,1986,39773,4
Japan,1986,63218,2
Korea,1986,63688,1
Lao,1986,22588,10
Malaysia,1986,26399,9
Myanmar,1986,30279,6
Philippines,1986,27173,8
SriLanka,1986,30944,5
Thailand,1986,20522,12
VietNam,1986,28060,7
China,1987,54035,3
India,1987,21991,11
Indonesia,1987,40391,4
Japan,1987,61901,1
Korea,1987,60173,2
Lao,1987,22272,10
Malaysia,1987,24686,9
Myanmar,1987,30424,6
Philippines,1987,26229,8
SriLanka,1987,31318,5
Thailand,1987,20147,12
VietNam,1987,26954,7
China,1988,52819,3
India,1988,25486,9
Indonesia,1988,41108,4
Japan,1988,58858,2
Korea,1988,65550,1
Lao,1988,19118,12
Malaysia,1988,25251,10
Myanmar,1988,29084,7
Philippines,1988,26442,8
