316,Fast Food Restaurant
317,Nightclub
318,Hotel
319,Asian Restaurant
320,Residential Building (Apartment / Condo)
321,Mall
322,Home (private)
323,Building
324,Chinese Restaurant
325,Ice Cream Shop
326,Residential Building (Apartment / Condo)
327,Other Great Outdoors
328,Nightclub
329,Nightclub
330,cafe
331,Elementary School
332,Cocktail Bar
333,Office
334,Assisted Living
335,Multiplex
336,Mall
337,Malaysian Restaurant
338,Bus Station
339,Mall
340,Fried Chicken Joint
341,Yoga Studio
342,Food Court
343,Coffee Shop
344,Residential Building (Apartment / Condo)
345,Lounge
346,Home (private)
347,Assisted Living
348,Grocery Store
349,Toy / Game Store
350,Home (private)
351,Building
352,Residential Building (Apartment / Condo)
353,Office
354,Tea Room
355,Assisted Living
356,-1
357,Airport Terminal
358,Hotel
359,Tea Room
360,Residential Building (Apartment / Condo)
361,Mall
362,Bus Station
363,Home (private)
364,Plaza
365,Bus Station
366,Street Fair
367,Ramen / Noodle House
368,Nightclub
369,Hospital
370,-1
371,Bus Station
372,-1
373,Miscellaneous Shop
374,Pub
375,Playground
376,Public Art
377,Beer Garden
378,Grocery Store
379,Neighborhood
380,Coffee Shop
381,Bar
382,-1
383,Residential Building (Apartment / Condo)
384,Middle Eastern Restaurant
385,Ice Cream Shop
386,Residential Building (Apartment / Condo)
387,Nightclub
388,Bar
389,American Restaurant
390,Home (private)
391,Residential Building (Apartment / Condo)
392,Breakfast Spot
393,Pool Hall
394,Resort
395,Assisted Living
396,Hostel
397,Home (private)
398,Residential Building (Apartment / Condo)
399,General Entertainment
400,Home (private)
401,Video Game Store
402,Assisted Living
403,Home (private)
404,Steakhouse
405,Bar
406,Residential Building (Apartment / Condo)
407,Coworking Space
408,Bus Line
409,Pool Hall
410,Food Court
411,Restaurant
412,Building
413,Home (private)
414,Home (private)
415,Indian Restaurant
416,Home (private)
417,Bus Station
418,Fast Food Restaurant
419,Military Base
420,Airport Gate
421,Italian Restaurant
422,Food Court
423,Residential Building (Apartment / Condo)
424,Coffee Shop
425,Building
426,Malaysian Restaurant
427,Mall
428,Bridge
429,American Restaurant
430,Home (private)
431,Chinese Restaurant
432,Fast Food Restaurant
433,Home (private)
434,Home (private)
435,Other Nightlife
436,Nightclub
437,Italian Restaurant
438,Home (private)
439,Indian Restaurant
440,Nightclub
441,Spa / Massage
442,Road
443,Home (private)
444,Assisted Living
445,Hotel
446,Nightclub
447,Bus Line
448,Home (private)
449,Bus Station
450,Residential Building (Apartment / Condo)
451,Hotel
452,Seafood Restaurant
453,Residential Building (Apartment / Condo)
454,cafe
455,Asian Restaurant
456,Nightclub
457,Flower Shop
458,-1
459,Peruvian Restaurant
460,Capitol Building
461,Office
462,Cocktail Bar
463,Beach
464,Food Court
465,Home (private)
466,Karaoke Bar
467,Home (private)
468,Sports Bar
469,Nightclub
470,-1
471,Residential Building (Apartment / Condo)
472,Building
473,Neighborhood
474,Nightclub
475,-1
476,Chinese Restaurant
477,Coffee Shop
478,-1
479,Building
480,-1
481,Gay Bar
482,Pub
483,Airport Terminal
484,Home (private)
485,Emergency Room
