128,2,Coffee Shop,1.288762,103.846909,
129,2,Japanese Restaurant,1.350613,103.871552,
130,2,Chinese Restaurant,1.285530,103.850744,
131,2,Chinese Restaurant,1.333426,103.743033,
132,4,Cocktail Bar,1.282859,103.850331,
133,1,Trade School,1.375927,103.752329,
134,4,Karaoke Bar,1.441638,103.824606,
135,6,Mall,1.301425,103.839469,
136,0,Multiplex,1.369266,103.848674,
137,8,Home (private),1.330656,103.943404,
138,4,Pub,1.299645,103.849521,
139,6,Grocery Store,1.321196,103.844386,
140,5,Other Great Outdoors,1.309219,103.877617,
141,6,Convenience Store,1.351211,103.872453,
142,6,Mall,1.324984,103.929361,
143,7,Hotel,1.306353,103.833297,
144,6,Flea Market,1.283552,103.844143,
145,6,Flea Market,1.300524,103.854967,
146,2,Fast Food Restaurant,1.436602,103.787167,
147,2,Asian Restaurant,1.344830,103.955016,
148,7,Bus Station,1.428627,103.836092,
149,6,Grocery Store,1.355004,103.945095,
150,6,Food Court,1.306809,103.934720,
151,6,Mall,1.348614,103.697490,
152,8,Housing Development,1.337397,103.852692,
153,2,Juice Bar,1.301293,103.836879,
154,2,Japanese Restaurant,1.282796,103.846408,
155,2,Chinese Restaurant,1.313419,103.900689,
156,6,Food Court,1.337260,103.697376,
157,0,General Entertainment,1.375712,103.956098,
158,8,Home (private),1.321292,103.943404,
159,6,Mall,1.354033,103.945117,
160,2,Wings Joint,1.304128,103.832002,
161,2,Chinese Restaurant,1.382447,103.844680,
162,2,Japanese Restaurant,1.369072,103.847641,
163,6,Mall,1.333259,103.743081,
164,2,Ice Cream Shop,1.338161,103.844522,
165,8,Home (private),1.349322,103.955007,
166,8,Home (private),1.434873,103.769469,
167,2,Coffee Shop,1.297373,103.899602,
168,5,Soccer Field,1.335615,103.794337,
169,3,Parking,1.318658,103.874406,
170,8,Residential Building (Apartment / Condo),1.355820,103.950653,
171,6,Mall,1.352775,103.944939,
172,8,Home (private),1.434731,103.792648,
173,7,Train Station,1.324185,103.930063,
174,2,Burger Joint,1.351279,103.872213,
175,0,Dance Studio,1.318328,103.843525,
176,3,Hospital,1.371704,103.878019,
177,8,Home (private),1.358692,103.955007,
178,2,Steakhouse,1.362142,103.990229,
179,2,Chinese Restaurant,1.298582,103.855817,
180,2,Café,1.361399,103.885743,
181,8,Residential Building (Apartment / Condo),1.449701,103.825348,
