X, Y, Int U, U, Ux, Uy, Int V, V, Vx, Vy, Interation, ZNCC, Black Subset, Out of Boundary, 
18, 18, 0, 0.000448423, 9.61159e-005, -2.50547e-005, 0, 2.00035, 6.17226e-005, -4.18768e-005, 10, 0.865119, 0, 0
28, 18, -1, -0.000264898, 8.0567e-005, -4.11195e-005, 0, 1.99875, -6.1838e-006, 0.000130472, 18, 0.942677, 0, 0
38, 18, 0, 8.90464e-007, -3.86453e-005, 2.27179e-005, 0, 1.99987, 2.56777e-005, -1.21575e-006, 10, 0.891668, 0, 0
48, 18, 0, -1.54081e-005, 4.737e-006, -1.8467e-006, 1, 2.00001, 1.5696e-005, 1.11731e-005, 4, 0.890998, 0, 0
58, 18, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0.928796, 0, 0
68, 18, 0, -4.50187e-005, 3.07124e-005, 1.61447e-005, 1, 1.99989, 3.07614e-005, -1.84244e-005, 5, 0.925712, 0, 0
78, 18, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0.91322, 0, 0
88, 18, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0.956768, 0, 0
98, 18, 0, -2.11039e-005, 7.01515e-006, -1.46305e-005, 1, 1.99957, 1.71646e-005, -8.3718e-005, 10, 0.745942, 0, 0
108, 18, 0, 3.22295e-005, -9.59608e-007, 2.54311e-006, 0, 1.99995, 4.32581e-006, -7.88945e-006, 5, 0.805262, 0, 0
118, 18, 0, 2.56638e-005, 1.57514e-006, 4.24086e-006, 0, 1.99998, 1.17523e-006, -8.04901e-006, 5, 0.875297, 0, 0
128, 18, 0, 0.00262871, 0.00485175, -0.00190412, 0, 1.9929, -0.00182261, 0.00229199, 20, 0.779548, 0, 0
138, 18, 0, 0.000141377, -3.13079e-005, -1.87536e-005, 1, 1.99994, 1.96641e-005, -1.22121e-006, 6, 0.834504, 0, 0
148, 18, 0, -7.7256e-005, -2.45434e-005, 2.1526e-005, 1, 1.99995, 8.54932e-006, 2.69507e-005, 6, 0.914881, 0, 0
158, 18, 0, 4.24001e-005, 4.16383e-005, 7.77849e-006, 1, 1.99971, -3.08374e-006, 0.000102434, 8, 0.945646, 0, 0
168, 18, 0, 4.9371e-005, -1.96951e-006, 1.3133e-005, 1, 1.99984, -1.5236e-005, 4.21859e-005, 9, 0.931499, 0, 0
178, 18, 0, -0.000596928, -0.000252498, -0.000101099, 1, 1.99938, -0.000128716, -0.000146703, 4, 0.940528, 0, 0
188, 18, 0, -0.00017304, 2.87856e-005, 2.31218e-005, 0, 1.99989, 4.29954e-006, 5.78783e-006, 6, 0.904269, 0, 0
198, 18, 0, 1.68283e-005, 1.46711e-005, -8.07683e-006, 1, 1.99999, -4.3408e-006, 5.77555e-006, 5, 0.879503, 0, 0
208, 18, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0.966557, 0, 0
218, 18, 0, 5.34606e-005, -3.12378e-005, 2.22915e-005, 0, 1.99994, -3.48942e-005, -8.22252e-006, 7, 0.83079, 0, 0
228, 18, 0, 0.000105195, 3.17168e-005, 8.42739e-006, 0, 2.00001, 1.65194e-005, -1.34784e-006, 6, 0.787321, 0, 0
18, 28, 0, 0.000591699, 0.000166225, 6.89463e-006, 1, 2.00049, 6.33868e-005, -1.92233e-005, 11, 0.947891, 0, 0
28, 28, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0.983855, 0, 0
38, 28, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0.994061, 0, 0
48, 28, 0, -2.39126e-005, -7.40442e-006, -1.01524e-005, 1, 1.99991, -1.47458e-005, -9.10944e-006, 6, 0.940017, 0, 0
58, 28, 0, -1.66834e-005, 2.38441e-006, 8.30968e-006, 1, 1.99991, 1.75256e-005, -4.76035e-006, 4, 0.90782, 0, 0
68, 28, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0.928585, 0, 0
78, 28, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0.943988, 0, 0
88, 28, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0.905954, 0, 0
98, 28, 0, 0.000254414, -0.000127384, -4.98783e-005, 1, 1.99998, 0.000129549, -0.000184872, 6, 0.906202, 0, 0
108, 28, 0, 0.000137488, -5.25801e-005, -1.22655e-005, 1, 2.00016, -2.58171e-005, 5.8369e-005, 6, 0.930194, 0, 0
118, 28, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0.980264, 0, 0
128, 28, 0, -1.64781e-005, -1.77696e-005, -8.59398e-006, 0, 1.99993, -1.70395e-005, 1.67793e-005, 7, 0.882593, 0, 0
138, 28, 0, -4.85638e-005, 6.11558e-005, 1.86287e-005, 1, 2, 2.42643e-005, 1.77698e-005, 5, 0.886806, 0, 0
148, 28, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0.980607, 0, 0
158, 28, 0, -4.40651e-005, 4.9538e-005, -1.32306e-005, 1, 1.99997, 8.68048e-006, -2.90246e-005, 5, 0.809642, 0, 0
168, 28, 0, 0.000206368, 2.5515e-005, 1.82599e-005, 1, 1.99994, -7.25542e-006, -2.3367e-005, 4, 0.84693, 0, 0
178, 28, 0, -0.000250758, 0.00037346, -0.00017281, 1, 2.00151, 1.16423e-005, 2.26532e-005, 12, 0.95764, 0, 0
188, 28, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0.988282, 0, 0
198, 28, 0, -0.000417029, 0.000291387, -2.20225e-005, 1, 2, -7.13237e-005, 2.34574e-005, 13, 0.923349, 0, 0
