56217601,53494500,12084000,16160400,4679000,1089080,6834100,3910100,923024,10150000,8997400,
65675288,49825600,13004000,16927100,4074000,1125340,7664700,3966980,1029190,11250000,9747040,
76439280,55497000,11595000,16648800,5079000,1190210,7782900,3842860,1045910,12171000,9622670,
85853780,58962000,12306000,16356100,5344000,1109780,8507700,3992400,1074050,11600000,9697030,
90705630,45883500,12975000,16126100,4867000,1255610,8055100,4072640,764158,11164000,9369700,
98403990,45657000,13650000,16564000,5448000,1226680,6636400,4094020,980746,13500000,8463500,
96734816,56418300,13222000,18782000,5008000,1205070,7769400,4560700,1158150,11198000,9188400,
97716767,59641800,17162800,18779000,4442000,1433950,8022900,4444660,1359540,12410000,8366150,
97998492,60644500,18020200,18200000,5688000,1590600,7984700,5464080,1375960,13410000,8815000,
113101869,63337800,19331000,16493000,5476000,1681420,8161900,5578410,1615930,13850000,10173300,
118129210,64602000,20190000,14148000,5557000,1816920,8175000,5324880,1395780,13744000,10447000,
116428562,58868000,19393600,15450500,5496000,1837320,7356800,4609510,1312450,12413000,10748200,
124584090,66077000,21489500,15778000,5850000,1979940,8601900,5158900,1312420,14899000,11125000,
127010740,59650000,22473000,15964000,6174000,2095000,8583400,5615270,1602310,13386000,11023300,
128726270,73352000,22339200,17097000,6485000,1997000,9207700,6112040,1154160,15300000,10293600,
129231900,63051900,23300900,15288000,7249000,1995000,9319300,6542610,1252620,15068000,11827200,
131917520,79005600,23347100,17006000,8348000,1898000,9462000,7254390,1677290,13921000,10597100,
140023850,80608500,25771600,15736000,8532000,1498000,10528300,7211620,1890490,17470000,9789900,
146846140,63475700,26282700,14948000,7880940,2095000,10447900,7684800,1917220,15758000,11362900,
142876520,80312000,29651900,12189000,5311410,2044600,13317400,7646490,2133200,17368100,11647400,
146959840,79883000,32774200,12824000,7148700,2019900,14146600,7910740,2229350,17774300,12415200,
164741380,70771700,33583700,12838000,7307860,1883600,14373400,8533730,2155630,16878500,14390200,
172008862,90048000,35303000,12958000,7607540,1734330,14288100,7294910,2483530,19548900,14743300,
181095744,87552800,38136400,14848000,7970330,1571670,14255500,7828880,2419700,19904800,15505600,
171318865,95817700,39032900,14578000,7855260,1745370,14317000,8805600,2661210,20263900,15874800,
174720521,90779400,39726800,14559000,7871370,1718220,14127100,9246790,2588180,18868200,16002900,
15102600,18428300,2127830,8539850,13638400,1626700,7595760,13284000,40078200,85338700,176662485,
171441923,106369000,41676200,12419000,8260160,1696240,13167100,8970920,2476610,21262900,17000000,
182485243,110311000,44725600,12934000,8099950,1743440,13806500,9458770,2063440,20601000,18996300,
191614672,111517000,45178800,13124000,7721970,1884980,13971800,9885000,2538000,17193200,19225100,
185692640,112042000,44688200,12005000,7292530,1926350,13204200,9673260,2389000,20400000,19621900,
188291880,109001000,48240000,13216000,7303000,2012730,14840400,9513000,2339700,19917000,21590300,
179746930,120400000,48181100,9793000,6507000,2104450,16763200,9434210,2570000,19530000,22836600,
177994400,122640000,46641500,14976000,6882000,2138790,18198900,10540600,2683690,21111000,23528300,
187297970,115440000,49744100,13435000,6387300,2127270,17956900,10540600,2809890,22015500,24963700,
197032900,122500000,51101500,12930000,7121420,2228490,17679800,11283600,2061520,22331600,26396700,
202771840,123700000,49377100,12531000,7312100,2119620,16651400,11268000,2239370,23580000,27523900,
200571160,129055000,49236700,11200000,6779290,1944240,17077700,8554000,2692340,23450000,29145500,
200403300,134496000,50866400,11468800,7032760,2036640,20126000,11786600,2857100,24172000,31393800,
189814060,127465000,51898000,11863000,7196580,2140800,21323900,12389400,2859900,25843900,32529500,
179304900,139900000,50460800,11320000,7406520,2095000,21916000,12954900,2695080,28033700,32108400,
176342190,107730000,51489700,11111000,6687230,2197350,21805000,13270700,2859480,27991800,34447200,
162304280,132789000,52137600,9740000,6015000,2257000,23146300,13499900,3071200,29473500,34568800,
180522610,124697000,54088500,10912000,6736930,2264000,24939000,14496800,2628000,28538200,36148900,
182055140,137690000,54151100,11342000,6435000,2314000,27683000,14603000,3246000,30291900,35832900,
183276050,139137000,54454900,10695000,6410950,2187000,30924000,15326700,3342000,29641900,35849500,
187397460,144570000,57157400,10893000,6038000,2375000,31451000,16240200,3131000,32099400,35942700,
193284180,148770000,60251100,11028800,6919250,2353000,32573000,16815500,3875000,31650600,38729800,
196681170,133700000,64398900,10590000,7022970,2460000,32682000,16266400,3652000,32116100,38950200,
197212010,120620000,66411500,10600000,5804000,2548000,33204500,15771700,4300620,31597200,39988900,
