Country,Production,Year
VietNam,26396700,1996
China,202771840,1997
India,123700000,1997
Indonesia,49377100,1997
Japan,12531000,1997
Korea,7312100,1997
Malaysia,2119620,1997
Myanmar,16651400,1997
Philippines,11268000,1997
SriLanka,2239370,1997
Thailand,23580000,1997
VietNam,27523900,1997
China,200571160,1998
India,129055000,1998
Indonesia,49236700,1998
Japan,11200000,1998
Korea,6779290,1998
Malaysia,1944240,1998
Myanmar,17077700,1998
Philippines,8554000,1998
SriLanka,2692340,1998
Thailand,23450000,1998
VietNam,29145500,1998
China,200403300,1999
India,134496000,1999
Indonesia,50866400,1999
Japan,11468800,1999
Korea,7032760,1999
Malaysia,2036640,1999
Myanmar,20126000,1999
Philippines,11786600,1999
SriLanka,2857100,1999
Thailand,24172000,1999
VietNam,31393800,1999
China,189814060,2000
India,127465000,2000
Indonesia,51898000,2000
Japan,11863000,2000
Korea,7196580,2000
Malaysia,2140800,2000
Myanmar,21323900,2000
Philippines,12389400,2000
SriLanka,2859900,2000
Thailand,25843900,2000
VietNam,32529500,2000
China,179304900,2001
India,139900000,2001
Indonesia,50460800,2001
Japan,11320000,2001
Korea,7406520,2001
Malaysia,2095000,2001
Myanmar,21916000,2001
Philippines,12954900,2001
SriLanka,2695080,2001
Thailand,28033700,2001
VietNam,32108400,2001
China,176342190,2002
India,107730000,2002
Indonesia,51489700,2002
Japan,11111000,2002
Korea,6687230,2002
Malaysia,2197350,2002
Myanmar,21805000,2002
Philippines,13270700,2002
SriLanka,2859480,2002
Thailand,27991800,2002
VietNam,34447200,2002
China,162304280,2003
India,132789000,2003
Indonesia,52137600,2003
Japan,9740000,2003
Korea,6015000,2003
Malaysia,2257000,2003
Myanmar,23146300,2003
Philippines,13499900,2003
SriLanka,3071200,2003
Thailand,29473500,2003
VietNam,34568800,2003
China,180522610,2004
India,124697000,2004
Indonesia,54088500,2004
Japan,10912000,2004
Korea,6736930,2004
Malaysia,2264000,2004
Myanmar,24939000,2004
Philippines,14496800,2004
SriLanka,2628000,2004
Thailand,28538200,2004
VietNam,36148900,2004
China,182055140,2005
India,137690000,2005
Indonesia,54151100,2005
Japan,11342000,2005
Korea,6435000,2005
Malaysia,2314000,2005
Myanmar,27683000,2005
Philippines,14603000,2005
SriLanka,3246000,2005
Thailand,30291900,2005
VietNam,35832900,2005
China,183276050,2006
India,139137000,2006
Indonesia,54454900,2006
Japan,10695000,2006
Korea,6410950,2006
Malaysia,2187000,2006
Myanmar,30924000,2006
Philippines,15326700,2006
SriLanka,3342000,2006
Thailand,29641900,2006
VietNam,35849500,2006
China,187397460,2007
India,144570000,2007
Indonesia,57157400,2007
Japan,10893000,2007
Korea,6038000,2007
Malaysia,2375000,2007
Myanmar,31451000,2007
Philippines,16240200,2007
SriLanka,3131000,2007
Thailand,32099400,2007
VietNam,35942700,2007
China,193284180,2008
India,148770000,2008
Indonesia,60251100,2008
Japan,11028800,2008
Korea,6919250,2008
Malaysia,2353000,2008
Myanmar,32573000,2008
Philippines,16815500,2008
SriLanka,3875000,2008
Thailand,31650600,2008
VietNam,38729800,2008
China,196681170,2009
India,133700000,2009
Indonesia,64398900,2009
Japan,10590000,2009
Korea,7022970,2009
Malaysia,2460000,2009
Myanmar,32682000,2009
Philippines,16266400,2009
SriLanka,3652000,2009
Thailand,32116100,2009
VietNam,38950200,2009
China,197212010,2010
India,120620000,2010
Indonesia,66411500,2010
Japan,10600000,2010
Korea,5804000,2010
Malaysia,2548000,2010
Myanmar,33204500,2010
Philippines,15771700,2010
SriLanka,4300620,2010
Thailand,31597200,2010
VietNam,39988900,2010
