20787,15419,17623,48793,41481,8710,21086,16066,12299,18626,16585,18966,
23700,13959,17855,51372,35768,8644,20678,16469,12548,19539,17202,19937,
26833,15498,17226,50821,43974,8667,21525,15957,12447,19547,18725,21400,
28289,16171,17630,50111,44720,8024,19968,17097,12478,19962,18384,19442,
29667,12936,17708,49489,39634,8079,21578,16614,13099,17696,17805,19414,
31445,12952,17748,50841,44257,8108,21408,14694,13223,18365,18360,18079,
31006,15484,17592,57490,40551,8448,20165,16510,13804,21259,17497,19159,
31868,16134,21398,57183,38593,11753,21714,16843,13339,23968,17882,17095,
31415,16094,22487,55505,46623,13471,23246,17092,17098,25654,18474,17880,
34162,16849,23763,56348,45520,13589,23858,16973,17460,22485,20207,21534,
33145,17110,24254,52439,46697,12204,24736,17161,15980,20119,19369,22265,
32475,16046,24556,58458,46146,12287,23980,16247,14431,20540,18308,21935,
34818,17259,25572,60175,49504,13290,26342,17629,14624,19539,19242,22117,
35033,15744,26412,58605,51257,13190,28311,17574,15458,20104,18254,21564,
35283,18582,26297,61856,53243,13382,26615,18307,16636,19325,18308,21198,
34957,16372,27843,55013,59667,12600,27217,18974,17967,19712,18450,22327,
36373,19613,27929,61683,67868,12345,26252,19453,20142,21441,15910,19378,
39809,19912,28862,61758,69380,12512,25695,21012,20253,22521,19552,17922,
42491,16105,29855,59864,63905,12577,28388,23521,21131,24282,18209,20716,
41435,20002,32928,51279,43076,14386,28524,27739,22105,25897,18878,20798,
43315,19623,34934,56295,58410,15498,28409,29419,22977,26462,19521,21966,
48888,18497,37363,56881,61510,14825,27619,31505,26342,28896,18880,25194,
50918,21833,38530,57008,61926,15851,26041,30666,23227,31977,20351,26272,
53634,21272,39060,64138,64754,20167,25187,30981,24300,27316,20670,27323,
52498,23292,39418,62246,63514,21028,26648,30718,25879,30777,20608,27761,
53272,22052,39773,63218,63688,22588,26399,30279,27173,30944,20522,28060,
54035,21991,40391,61901,60173,22272,24686,30424,26229,31318,20147,26954,
52819,25486,41108,58858,65550,19118,25251,29084,26442,30367,21465,29613,
55005,26161,42470,61679,64456,23552,26251,29174,27046,29916,20853,32136,
57166,26125,43018,63279,62057,22936,27694,29353,29786,30643,19556,31815,
56238,26271,43465,58590,60346,21977,28178,28862,28243,30215,22534,31133,
57959,26092,43447,62754,63120,26555,29918,29351,29388,30544,21744,33342,
58462,28303,43750,45783,57330,22668,30348,30552,28742,31350,21700,34815,
58288,28645,43453,67703,62393,25812,30614,31690,28866,29933,23521,35657,
60210,26972,43487,63432,60524,25323,31619,29766,28043,31586,24158,36898,
62050,28226,44168,65402,67888,25526,32510,30649,28558,31231,24097,37689,
63111,28457,44322,64163,69529,27607,30676,30789,29326,32451,23787,38768,
63529,28805,41974,62188,64169,27116,28829,31286,26984,35102,24654,39585,
63344,29782,42519,64143,65961,29304,29415,32405,29468,32810,24245,41018,
62642,28508,44007,67023,67110,30606,30640,33834,30681,34374,26128,42432,
61524,31158,43879,66354,68381,31264,31102,34177,31866,35228,27687,42853,
61855,26163,44691,65823,63495,32739,32385,34172,32797,34889,28996,45903,
60606,31177,45426,58499,59201,31404,33596,35457,33696,33696,28998,46387,
63085,29756,45365,64151,67291,32831,33260,38175,35130,36516,28559,48553,
62527,31537,45739,66483,65682,34890,34221,37491,35876,35465,29625,48891,
62763,31759,46201,63359,67114,35855,33907,38301,36844,36705,29160,48943,
64223,32924,47052,65111,63541,37233,35277,39260,38008,38337,30087,49869,
65535,34169,48948,67786,73942,37772,35836,40323,37703,36800,29626,52336,
65820,31947,49985,65209,75967,38419,36591,40853,35890,37374,28826,52372,
65482,32644,50144,65111,65062,34552,37818,41239,36222,40558,28751,53221,
